raw_text_examples,normalized_suggestion,occurrences,example_recipe_ids,notes
"نمک – به میزان لازم | نمک; به میزان لازم | نمک","نمک","827","1023;307;181",""
"فلفل سیاه – به میزان لازم | فلفل سیاه به مقدار لازم | فلفل سیاه به میزان لازم","فلفل سیاه","516","1023;958;1035",""
"۱ قاشق غذاخوری روغن زیتون | ۲ قاشق غذاخوری روغن زیتون | 2 قاشق غذاخوری روغن زیتون","روغن زیتون","317","962;42;776",""
"۲۵ گرم کره | ۲ قاشق غذاخوری کره | ۱ قاشق غذاخوری کره","کره","268","574;1462;788",""
"۲ قاشق غذاخوری رب گوجه‌فرنگی | ۱ قاشق غذاخوری رب گوجه‌فرنگی | رب گوجه‌فرنگی ۲ قاشق غذاخوری","رب گوجه‌فرنگی","184","958;784;1037",""
"۱ حبه سیر، ریز خردشده | ۲ حبه سیر، ریز خردشده | ۴ حبه سیر، ریز خردشده","سیر ریز خردشده","180","1462;1478;790",""
"تخم‌مرغ – ۳ عدد | ۱ عدد تخم‌مرغ | ۲ عدد تخم‌مرغ","تخم‌مرغ","166","1023;1024;1035",""
"نمک و فلفل سیاه به میزان لازم | نمک و فلفل سیاه به مقدار لازم | نمک و فلفل سیاه، به میزان لازم","نمک و فلفل سیاه","166","963;1024;1484",""
"زردچوبه – به میزان لازم | زردچوبه; به میزان لازم | زردچوبه","زردچوبه","143","1023;307;181",""
"آب; 2.5 پیمانه | آب به مقدار لازم | ۱ پیمانه آب","آب","141","307;1479;1045",""
"روغن; به میزان لازم | روغن | 2 قاشق غذاخوری روغن","روغن","132","307;181;1032",""
"پیاز; 1 عدد | پیاز | ۲ عدد پیاز","پیاز","131","307;181;574",""
"۱ قاشق غذاخوری روغن مایع | ۲ قاشق غذاخوری روغن مایع | روغن مایع","روغن مایع","131","1040;791;328",""
"نمک و فلفل به مقدار لازم | نمک و فلفل به میزان لازم | نمک و فلفل - به میزان لازم","نمک و فلفل","109","574;1492;315",""
"پیاز ریز خردشده | ۱۵۰ گرم پیاز، ریز خردشده | ۱ عدد پیاز، ریز خردشده","پیاز ریز خردشده","109","802;1092;817",""
"4.5 پیمانه گوشت چرخ‌کرده | ۳۵۰ گرم گوشت چرخ‌کرده | ۱۰۰ گرم گوشت چرخ‌کرده","گوشت چرخ‌کرده","97","1032;958;1037",""
"فلفل | فلفل به میزان لازم | فلفل به مقدار لازم","فلفل","94","181;323;328",""
"برنج | ۱ پیمانه برنج | ۲ پیمانه برنج","برنج","91","181;314;1479",""
"۲ قاشق غذاخوری آرد سفید | ۱ پیمانه آرد سفید | ۲ پیمانه آرد سفید","آرد سفید","84","1024;1462;1037",""
"سیر | ۲ حبه سیر | حبه سیر","سیر","80","806;344;352",""
"۱ پیمانه شیر | شیر | ۱ قاشق غذاخوری شیر","شیر","70","1462;798;799",""
"۱ قاشق چای‌خوری زردچوبه | 1 قاشق چای‌خوری زردچوبه | ۲ قاشق چای‌خوری زردچوبه","قاشق چای‌خوری زردچوبه","69","1024;776;815",""
"۱۰۰ گرم خامه | خامه – ۱ پیمانه | خامه","خامه","69","574;649;820",""
"۱ قاشق چای‌خوری نمک | 1 قاشق چای‌خوری نمک | ۲ قاشق چای‌خوری نمک","قاشق چای‌خوری نمک","69","784;791;1051",""
"۲ قاشق غذاخوری شکر | شکر | ۲۰۰ گرم شکر","شکر","67","1361;328;805",""
"۱ عدد پیاز متوسط، ریز خردشده | ۲ عدد پیاز متوسط، ریز خردشده | پیاز متوسط، ریز خردشده – ۱ عدد","پیاز متوسط ریز خردشده","64","1462;1035;789",""
"۲ قاشق غذاخوری جعفری تازه خردشده | جعفری تازه خردشده | ۱۲ قاشق غذاخوری جعفری تازه خردشده","جعفری تازه خردشده","55","797;802;810",""
"آب‌لیمو، به میزان لازم | آب‌لیمو به مقدار لازم | ۲ قاشق غذاخوری آب‌لیمو","آب‌لیمو","48","1361;1360;1092",""
